,id,localidade,IAP,IDH,PIB,GINI,CLASS,qty_casos_2014,qty_casos_2015,qty_casos_2016,qty_casos_2017,qty_casos_2018,qty_casos_2019,qty_casos_2020,qty_casos_2021,qty_casos_2022,qty_casos_2023
44,150290,Curuçá,0.0,0.582,7232.78,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,73.0,176.0,256.0,436.0
45,150293,Dom Eliseu,0.12,0.615,11068.01,0.62,3,6.0,3.0,16.0,11.0,6.0,4.0,7.0,102.0,85.0,103.0
46,150295,Eldorado do Carajás,0.15,0.56,12710.98,0.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,150300,Faro,0.15,0.563,8342.29,0.61,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
48,150304,Floresta do Araguaia,0.32,0.583,13425.59,0.63,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,150307,Garrafão do Norte,0.32,0.526,8452.59,0.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,150309,Goianésia do Pará,0.15,0.56,8573.14,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,150310,Gurupá,0.32,0.509,8415.96,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,5.0,85.0
52,150320,Igarapé-Açu,0.12,0.595,8922.0,0.64,3,0.0,0.0,0.0,0.0,0.0,0.0,41.0,108.0,31.0,68.0
53,150330,Igarapé-Miri,0.0,0.547,8283.4,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,168.0,577.0,266.0
54,150340,Inhangapi,0.0,0.572,10230.93,0.6599999999999999,3,2.0,1.0,5.0,8.0,2.0,3.0,10.0,41.0,7.0,17.0
55,150345,Ipixuna do Pará,0.47,0.489,8998.99,0.63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,150350,Irituia,0.32,0.559,6771.94,0.63,2,1.0,8.0,17.0,12.0,12.0,6.0,62.0,120.0,225.0,352.0
57,150360,Itaituba,0.52,0.64,20167.96,0.5900000000000001,0,14.0,14.0,28.0,33.0,21.0,20.0,81.0,160.0,353.0,368.0
58,150370,Itupiranga,0.12,0.528,10894.26,0.63,3,1.0,7.0,12.0,9.0,13.0,4.0,23.0,85.0,169.0,112.0
59,150375,Jacareacanga,0.0,0.505,63713.36,0.6599999999999999,3,0.0,0.0,1.0,1.0,0.0,0.0,4.0,22.0,33.0,13.0
60,150380,Jacundá,0.15,0.622,8256.57,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,110.0,191.0,162.0
61,150390,Juruti,0.27,0.592,20792.57,0.61,2,2.0,7.0,11.0,11.0,4.0,5.0,16.0,62.0,46.0,25.0
62,150400,Limoeiro do Ajuru,0.0,0.541,14645.33,0.6599999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,150405,Mãe do Rio,0.12,0.599,9691.0,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,150410,Magalhães Barata,0.12,0.597,8658.67,0.65,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,17.0,64.0
65,150420,Marabá,0.3,0.668,40832.03,0.5900000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,489.0,1174.0,1525.0,2223.0
66,150430,Maracanã,0.0,0.57,7744.81,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,63.0,166.0,127.0,205.0
67,150440,Marapanim,0.15,0.609,7767.89,0.65,2,2.0,3.0,7.0,13.0,9.0,10.0,61.0,147.0,110.0,74.0
68,150442,Marituba,0.15,0.676,14762.17,0.64,2,26.0,49.0,52.0,63.0,40.0,48.0,216.0,443.0,398.0,708.0
69,150445,Medicilândia,0.67,0.582,20717.81,0.63,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,47.0,78.0
70,150450,Melgaço,0.67,0.418,6509.82,0.6699999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,13.0,16.0
71,150460,Mocajuba,0.12,0.575,12164.29,0.5800000000000001,3,2.0,2.0,7.0,11.0,7.0,2.0,15.0,39.0,159.0,39.0
72,150470,Moju,0.12,0.547,11144.49,0.63,3,13.0,18.0,36.0,42.0,28.0,16.0,80.0,177.0,104.0,184.0
73,150475,Mojuí dos Campos,0.0,0.0,10580.49,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,150480,Monte Alegre,0.47,0.589,10708.37,0.61,1,3.0,8.0,18.0,15.0,10.0,8.0,30.0,137.0,222.0,200.0
75,150490,Muaná,0.12,0.547,7251.18,0.63,3,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,88.0,150.0
76,150495,Nova Esperança do Piriá,0.27,0.502,9749.62,0.6599999999999999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,150497,Nova Ipixuna,0.27,0.581,9495.18,0.5800000000000001,2,1.0,6.0,7.0,1.0,3.0,0.0,19.0,8.0,22.0,157.0
78,150500,Nova Timboteua,0.12,0.609,7537.95,0.65,3,2.0,0.0,2.0,1.0,1.0,4.0,9.0,22.0,59.0,59.0
79,150503,Novo Progresso,0.27,0.673,27122.47,0.6599999999999999,2,1.0,5.0,1.0,2.0,2.0,2.0,11.0,28.0,56.0,53.0
